timestamp,event,x,y,button,pressed,dx,dy
2024-05-28 20:18:16.558043,move,235,762,,,,
2024-05-28 20:18:16.566312,move,234,761,,,,
2024-05-28 20:18:16.573794,move,232,760,,,,
2024-05-28 20:18:16.581343,move,231,760,,,,
2024-05-28 20:18:16.590033,move,229,759,,,,
2024-05-28 20:18:16.598054,move,227,758,,,,
2024-05-28 20:18:16.606153,move,226,758,,,,
2024-05-28 20:18:16.613021,move,223,756,,,,
2024-05-28 20:18:16.621072,move,221,755,,,,
2024-05-28 20:18:16.637698,move,218,754,,,,
2024-05-28 20:18:16.645354,move,217,754,,,,
2024-05-28 20:18:16.653609,move,213,752,,,,
2024-05-28 20:18:16.661647,move,208,751,,,,
2024-05-28 20:18:16.669156,move,207,750,,,,
2024-05-28 20:18:16.676904,move,203,747,,,,
2024-05-28 20:18:16.684031,move,201,746,,,,
2024-05-28 20:18:16.692550,move,198,744,,,,
2024-05-28 20:18:16.700032,move,193,741,,,,
2024-05-28 20:18:16.708127,move,191,739,,,,
2024-05-28 20:18:16.716292,move,186,736,,,,
2024-05-28 20:18:16.723725,move,182,733,,,,
2024-05-28 20:18:16.732727,move,173,729,,,,
2024-05-28 20:18:16.739969,move,169,726,,,,
2024-05-28 20:18:16.747847,move,164,725,,,,
2024-05-28 20:18:16.755127,move,160,722,,,,
2024-05-28 20:18:16.762628,move,157,720,,,,
2024-05-28 20:18:16.771295,move,153,719,,,,
2024-05-28 20:18:16.779274,move,148,716,,,,
2024-05-28 20:18:16.787632,move,145,715,,,,
2024-05-28 20:18:16.796524,move,144,713,,,,
2024-05-28 20:18:16.803706,move,143,713,,,,
2024-05-28 20:18:16.811219,move,141,712,,,,
2024-05-28 20:18:16.818233,move,139,711,,,,
2024-05-28 20:18:16.825737,move,139,710,,,,
2024-05-28 20:18:16.833773,move,137,709,,,,
2024-05-28 20:18:16.842464,move,136,707,,,,
2024-05-28 20:18:16.850512,move,136,706,,,,
2024-05-28 20:18:16.858130,move,135,705,,,,
2024-05-28 20:18:16.865934,move,134,704,,,,
2024-05-28 20:18:16.881307,move,132,703,,,,
2024-05-28 20:18:16.889362,move,132,702,,,,
2024-05-28 20:18:16.905426,move,131,701,,,,
2024-05-28 20:18:16.929430,move,130,701,,,,
2024-05-28 20:18:16.937415,move,130,700,,,,
2024-05-28 20:18:16.953632,move,129,700,,,,
2024-05-28 20:18:16.960356,move,128,700,,,,
2024-05-28 20:18:17.016010,move,127,700,,,,
2024-05-28 20:18:17.039321,move,126,700,,,,
2024-05-28 20:18:17.063564,move,123,702,,,,
2024-05-28 20:18:17.070991,move,123,708,,,,
2024-05-28 20:18:17.079514,move,122,713,,,,
2024-05-28 20:18:17.087383,move,122,717,,,,
2024-05-28 20:18:17.095605,move,122,721,,,,
2024-05-28 20:18:17.102605,move,122,725,,,,
2024-05-28 20:18:17.109742,move,122,733,,,,
2024-05-28 20:18:17.117886,move,122,742,,,,
2024-05-28 20:18:17.126584,move,122,746,,,,
2024-05-28 20:18:17.134524,move,122,752,,,,
2024-05-28 20:18:17.141120,move,122,756,,,,
2024-05-28 20:18:17.149864,move,122,762,,,,
2024-05-28 20:18:17.158134,move,122,768,,,,
2024-05-28 20:18:17.166073,move,122,771,,,,
2024-05-28 20:18:17.172918,move,122,779,,,,
2024-05-28 20:18:17.180842,move,122,783,,,,
2024-05-28 20:18:17.188909,move,122,787,,,,
2024-05-28 20:18:17.196887,move,122,793,,,,
2024-05-28 20:18:17.204298,move,122,799,,,,
2024-05-28 20:18:17.212986,move,122,807,,,,
2024-05-28 20:18:17.220977,move,122,818,,,,
2024-05-28 20:18:17.229111,move,122,826,,,,
2024-05-28 20:18:17.237138,move,122,837,,,,
2024-05-28 20:18:17.243986,move,122,853,,,,
2024-05-28 20:18:17.252768,move,122,864,,,,
2024-05-28 20:18:17.260438,move,122,875,,,,
2024-05-28 20:18:17.268558,move,121,886,,,,
2024-05-28 20:18:17.276421,move,119,897,,,,
