timestamp,event,x,y,button,pressed,dx,dy
2024-05-28 21:01:38.065673,move,2444,1750,,,,
2024-05-28 21:01:38.073330,move,2433,1730,,,,
2024-05-28 21:01:38.081160,move,2423,1711,,,,
2024-05-28 21:01:38.089673,move,2399,1676,,,,
2024-05-28 21:01:38.097508,move,2367,1632,,,,
2024-05-28 21:01:38.103936,move,2331,1583,,,,
2024-05-28 21:01:38.112551,move,2283,1517,,,,
2024-05-28 21:01:38.120198,move,2222,1444,,,,
2024-05-28 21:01:38.128053,move,2167,1378,,,,
2024-05-28 21:01:38.135742,move,2098,1309,,,,
2024-05-28 21:01:38.135742,move,2025,1244,,,,
2024-05-28 21:01:38.149789,move,1947,1178,,,,
2024-05-28 21:01:38.156538,move,1874,1108,,,,
2024-05-28 21:01:38.168127,move,1801,1047,,,,
2024-05-28 21:01:38.175724,move,1735,991,,,,
2024-05-28 21:01:38.182929,move,1664,943,,,,
2024-05-28 21:01:38.190334,move,1594,899,,,,
2024-05-28 21:01:38.198966,move,1525,863,,,,
2024-05-28 21:01:38.205488,move,1463,835,,,,
2024-05-28 21:01:38.215505,move,1408,815,,,,
2024-05-28 21:01:38.223335,move,1359,803,,,,
2024-05-28 21:01:38.230873,move,1318,798,,,,
2024-05-28 21:01:38.239653,move,1291,796,,,,
2024-05-28 21:01:38.247455,move,1267,789,,,,
2024-05-28 21:01:38.254479,move,1248,785,,,,
2024-05-28 21:01:38.262125,move,1231,781,,,,
2024-05-28 21:01:38.270575,move,1220,777,,,,
2024-05-28 21:01:38.278179,move,1208,773,,,,
2024-05-28 21:01:38.286751,move,1197,771,,,,
2024-05-28 21:01:38.294369,move,1183,769,,,,
2024-05-28 21:01:38.302410,move,1167,763,,,,
2024-05-28 21:01:38.309804,move,1153,761,,,,
2024-05-28 21:01:38.318378,move,1139,761,,,,
2024-05-28 21:01:38.326354,move,1133,759,,,,
2024-05-28 21:01:38.333188,move,1125,759,,,,
2024-05-28 21:01:38.335693,move,1119,759,,,,
2024-05-28 21:01:38.349177,move,1113,759,,,,
2024-05-28 21:01:38.355877,move,1107,759,,,,
2024-05-28 21:01:38.365909,move,1103,759,,,,
2024-05-28 21:01:38.365909,move,1100,759,,,,
2024-05-28 21:01:38.381560,move,1096,759,,,,
2024-05-28 21:01:38.386255,move,1093,759,,,,
2024-05-28 21:01:38.397612,move,1089,759,,,,
2024-05-28 21:01:38.405845,move,1086,759,,,,
2024-05-28 21:01:38.413471,move,1080,759,,,,
2024-05-28 21:01:38.415558,move,1074,758,,,,
2024-05-28 21:01:38.425842,move,1070,758,,,,
2024-05-28 21:01:38.435656,move,1064,756,,,,
2024-05-28 21:01:38.435656,move,1060,756,,,,
2024-05-28 21:01:38.452772,move,1054,755,,,,
2024-05-28 21:01:38.460157,move,1047,753,,,,
2024-05-28 21:01:38.468036,move,1043,753,,,,
2024-05-28 21:01:38.476568,move,1040,752,,,,
2024-05-28 21:01:38.481034,move,1038,750,,,,
2024-05-28 21:01:38.485795,move,1035,750,,,,
2024-05-28 21:01:38.507706,move,1034,750,,,,
2024-05-28 21:01:38.515648,move,1032,750,,,,
2024-05-28 21:01:38.523877,move,1030,749,,,,
2024-05-28 21:01:38.530853,move,1029,749,,,,
2024-05-28 21:01:38.539625,move,1028,749,,,,
2024-05-28 21:01:38.555577,move,1027,749,,,,
2024-05-28 21:01:38.571591,move,1026,749,,,,
2024-05-28 21:01:39.205526,move,1026,749,,,,
2024-05-28 21:01:39.235614,move,1026,749,,,,
2024-05-28 21:01:39.265311,move,1027,749,,,,
2024-05-28 21:01:39.270328,move,1028,749,,,,
2024-05-28 21:01:39.282055,move,1029,750,,,,
2024-05-28 21:01:39.291012,move,1032,750,,,,
2024-05-28 21:01:39.298151,move,1035,752,,,,
2024-05-28 21:01:39.305511,move,1039,752,,,,
2024-05-28 21:01:39.313802,move,1045,752,,,,
2024-05-28 21:01:39.321195,move,1053,753,,,,
2024-05-28 21:01:39.329881,move,1059,753,,,,
2024-05-28 21:01:39.336938,move,1067,753,,,,
2024-05-28 21:01:39.345746,move,1075,753,,,,
2024-05-28 21:01:39.353808,move,1083,753,,,,
2024-05-28 21:01:39.361464,move,1092,753,,,,
2024-05-28 21:01:39.369278,move,1098,753,,,,
2024-05-28 21:01:39.377672,move,1104,753,,,,
2024-05-28 21:01:39.385479,move,1108,753,,,,
2024-05-28 21:01:39.391965,move,1114,753,,,,
2024-05-28 21:01:39.400453,move,1120,753,,,,
2024-05-28 21:01:39.408719,move,1126,753,,,,
2024-05-28 21:01:39.415749,move,1132,753,,,,
2024-05-28 21:01:39.424391,move,1140,753,,,,
2024-05-28 21:01:39.432655,move,1151,753,,,,
2024-05-28 21:01:39.440795,move,1165,753,,,,
2024-05-28 21:01:39.448598,move,1181,751,,,,
2024-05-28 21:01:39.456762,move,1192,751,,,,
2024-05-28 21:01:39.464388,move,1205,749,,,,
2024-05-28 21:01:39.472231,move,1219,747,,,,
2024-05-28 21:01:39.479564,move,1238,747,,,,
2024-05-28 21:01:39.487627,move,1252,743,,,,
2024-05-28 21:01:39.495542,move,1263,743,,,,
2024-05-28 21:01:39.503886,move,1274,743,,,,
2024-05-28 21:01:39.511724,move,1285,741,,,,
2024-05-28 21:01:39.518238,move,1291,741,,,,
2024-05-28 21:01:39.527503,move,1295,741,,,,
2024-05-28 21:01:39.535507,move,1296,741,,,,
2024-05-28 21:01:39.544034,move,1297,741,,,,
2024-05-28 21:01:39.595904,move,1298,741,,,,
2024-05-28 21:01:39.614436,move,1300,741,,,,
2024-05-28 21:01:39.622795,move,1301,741,,,,
2024-05-28 21:01:39.638341,move,1302,741,,,,
2024-05-28 21:01:39.646651,move,1303,741,,,,
2024-05-28 21:01:39.669417,move,1304,741,,,,
2024-05-28 21:01:39.685532,move,1305,741,,,,
2024-05-28 21:01:39.693248,move,1306,741,,,,
2024-05-28 21:01:39.709688,move,1308,740,,,,
2024-05-28 21:01:39.717456,move,1309,740,,,,
2024-05-28 21:01:39.745758,move,1309,738,,,,
2024-05-28 21:01:39.756851,move,1310,738,,,,
2024-05-28 21:01:39.772709,move,1311,737,,,,
2024-05-28 21:01:39.780897,move,1312,737,,,,
2024-05-28 21:01:39.796361,move,1312,736,,,,
2024-05-28 21:01:39.804450,move,1313,736,,,,
2024-05-28 21:01:39.820219,move,1313,735,,,,
2024-05-28 21:01:40.025851,move,1314,734,,,,
2024-05-28 21:01:40.041382,move,1320,734,,,,
2024-05-28 21:01:40.049808,move,1324,734,,,,
2024-05-28 21:01:40.057222,move,1330,732,,,,
2024-05-28 21:01:40.065657,move,1337,729,,,,
2024-05-28 21:01:40.073830,move,1343,729,,,,
2024-05-28 21:01:40.075481,move,1349,726,,,,
2024-05-28 21:01:40.087630,move,1360,724,,,,
2024-05-28 21:01:40.097043,move,1377,720,,,,
2024-05-28 21:01:40.104380,move,1393,716,,,,
2024-05-28 21:01:40.112642,move,1410,714,,,,
2024-05-28 21:01:40.120011,move,1429,707,,,,
2024-05-28 21:01:40.128372,move,1451,701,,,,
2024-05-28 21:01:40.136858,move,1470,696,,,,
2024-05-28 21:01:40.144579,move,1492,688,,,,
2024-05-28 21:01:40.152631,move,1514,681,,,,
2024-05-28 21:01:40.160000,move,1542,672,,,,
2024-05-28 21:01:40.167673,move,1564,661,,,,
2024-05-28 21:01:40.175198,move,1586,652,,,,
2024-05-28 21:01:40.183847,move,1605,643,,,,
2024-05-28 21:01:40.191833,move,1625,630,,,,
2024-05-28 21:01:40.199681,move,1633,623,,,,
2024-05-28 21:01:40.208091,move,1637,618,,,,
2024-05-28 21:01:40.215543,move,1637,612,,,,
2024-05-28 21:01:40.223798,move,1637,604,,,,
2024-05-28 21:01:40.230995,move,1633,595,,,,
2024-05-28 21:01:40.239021,move,1630,590,,,,
2024-05-28 21:01:40.246654,move,1608,569,,,,
2024-05-28 21:01:40.254383,move,1586,556,,,,
2024-05-28 21:01:40.262169,move,1569,547,,,,
2024-05-28 21:01:40.270578,move,1550,541,,,,
2024-05-28 21:01:40.278890,move,1528,534,,,,
2024-05-28 21:01:40.286322,move,1506,528,,,,
2024-05-28 21:01:40.294369,move,1482,526,,,,
2024-05-28 21:01:40.302421,move,1453,526,,,,
2024-05-28 21:01:40.310744,move,1409,526,,,,
2024-05-28 21:01:40.318381,move,1365,526,,,,
2024-05-28 21:01:40.325560,move,1322,536,,,,
2024-05-28 21:01:40.333806,move,1274,545,,,,
2024-05-28 21:01:40.341730,move,1209,566,,,,
2024-05-28 21:01:40.349702,move,1165,577,,,,
2024-05-28 21:01:40.357892,move,1125,595,,,,
2024-05-28 21:01:40.365628,move,1084,612,,,,
2024-05-28 21:01:40.373658,move,1042,636,,,,
2024-05-28 21:01:40.381428,move,1018,655,,,,
2024-05-28 21:01:40.389227,move,998,671,,,,
2024-05-28 21:01:40.397206,move,983,686,,,,
2024-05-28 21:01:40.404474,move,970,703,,,,
2024-05-28 21:01:40.412922,move,962,715,,,,
2024-05-28 21:01:40.420853,move,958,727,,,,
2024-05-28 21:01:40.428621,move,957,735,,,,
2024-05-28 21:01:40.436593,move,957,746,,,,
2024-05-28 21:01:40.443974,move,957,754,,,,
2024-05-28 21:01:40.452392,move,961,761,,,,
2024-05-28 21:01:40.459964,move,967,773,,,,
2024-05-28 21:01:40.468047,move,977,785,,,,
2024-05-28 21:01:40.476842,move,989,798,,,,
2024-05-28 21:01:40.478033,move,1004,808,,,,
2024-05-28 21:01:40.491647,move,1021,819,,,,
2024-05-28 21:01:40.495846,move,1044,835,,,,
2024-05-28 21:01:40.508180,move,1061,846,,,,
2024-05-28 21:01:40.515895,move,1083,857,,,,
2024-05-28 21:01:40.523789,move,1102,861,,,,
2024-05-28 21:01:40.529116,move,1124,865,,,,
2024-05-28 21:01:40.535884,move,1143,867,,,,
2024-05-28 21:01:40.545766,move,1159,867,,,,
2024-05-28 21:01:40.555614,move,1178,867,,,,
2024-05-28 21:01:40.558605,move,1199,867,,,,
2024-05-28 21:01:40.565785,move,1218,866,,,,
2024-05-28 21:01:40.575801,move,1237,860,,,,
2024-05-28 21:01:40.585537,move,1253,858,,,,
2024-05-28 21:01:40.592144,move,1275,851,,,,
2024-05-28 21:01:40.595837,move,1292,845,,,,
2024-05-28 21:01:40.608640,move,1306,841,,,,
2024-05-28 21:01:40.615845,move,1320,835,,,,
2024-05-28 21:01:40.626944,move,1335,829,,,,
2024-05-28 21:01:40.626944,move,1344,823,,,,
2024-05-28 21:01:40.641634,move,1354,815,,,,
2024-05-28 21:01:40.645793,move,1366,807,,,,
2024-05-28 21:01:40.657054,move,1369,803,,,,
2024-05-28 21:01:40.665660,move,1374,796,,,,
2024-05-28 21:01:40.673741,move,1374,790,,,,
2024-05-28 21:01:40.675320,move,1374,786,,,,
2024-05-28 21:01:40.688903,move,1374,778,,,,
2024-05-28 21:01:40.695967,move,1366,763,,,,
2024-05-28 21:01:40.705594,move,1357,754,,,,
2024-05-28 21:01:40.708875,move,1334,740,,,,
2024-05-28 21:01:40.715539,move,1306,731,,,,
2024-05-28 21:01:40.728664,move,1276,726,,,,
2024-05-28 21:01:40.735721,move,1231,723,,,,
2024-05-28 21:01:40.743177,move,1155,723,,,,
2024-05-28 21:01:40.745824,move,1098,729,,,,
